id,coverage
Addis Ababa,81.6
Afar,12.4
Amhara,40.7
Benshangul-Gumaz,55.3
Dire Dawa,65.5
Gambela Peoples,37.7
Harari People,41.2
Oromia,24.6
Somali,21.5
"Southern Nations, Nationalities and Peoples",32.1
Tigray,62.5
